pert_iname,smiles
2-ethoxybenzoic-acid,CCOc1ccccc1C(O)=O
"2-ethyl-1,3-hexanediol","CCC[C@@H](O)[C@@H](CC)CO |&1:3,&2:5,r|"
2-fluoro-2-deoxy-D-galactose,"OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H](O)[C@@H]1O |&1:2,&2:4,&3:6,&4:8,&5:10,r|"
2-fluorofucose,C[C@@H]1O[C@H](O)[C@@H](F)[C@H](O)[C@@H]1O |&1:3|
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione","OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@H]1C(=O)C(=C(O)\C=C\c2ccc(O)cc2)C(=O)[C@@](O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O |a:2,4,5,7,9,30,32,35,37,39,&1:11,&2:14,&3:28|"
2-hydroxyethyl-salicylate,OCCOC(=O)c1ccccc1O
2-hydroxyflutamide,CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
2-hydroxysaclofen,"NC[C@@](O)(CS(O)(=O)=O)c1ccc(Cl)cc1 |&1:2,r|"
2-iminobiotin,NC1=N[C@H]2CS[C@@H](CCCCC(O)=O)[C@H]2N1 |t:1|
2-iodohippuric-acid,OC(=O)CNC(=O)c1ccccc1I
2-iodomelatonin,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1
2-methoxyestradiol,COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O
2-methyl-5-hydroxytryptamine,Cc1[nH]c2ccc(O)cc2c1CCN
2-methyl-5-nitrophenol,Cc1ccc(cc1O)[N+]([O-])=O
2-methylimidazole,Cc1ncc[nH]1
2-octyldodecan-1-ol,"CCCCCCCCCC[C@@H](CO)CCCCCCCC |&1:10,r|"
2-oleoylglycerol,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO
2-oxoglutaric-acid,OC(=O)CCC(=O)C(O)=O
2-oxopropanoate,OC(=C)C(O)=O
2-phenylmelatonin,COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1
2-PMDQ,"O=C1Nc2ccccc2C2=N[C@@H](CN3CCN(CC3)c3ccccc3)CN12 |&1:11,r,t:10|"
2-pyridylethylamine,NCCc1ccccn1
2-TEDC,Oc1ccc(\C=C(/C#N)C(=O)OCCc2cccs2)cc1O
2-thiouracil,O=c1cc[nH]c(=S)[nH]1
"2,3-cis/exo-camphanediol",CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)[C@@H]2O
"2,3-cis/exo-pinanediol",CC1(C)C2CC1[C@](C)(O)[C@H](O)C2
"2,3-DCPE",OCCNCCCOc1cccc(Cl)c1Cl
"2,4-dinitrochlorobenzene",[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O
"2,4-dinitrophenol",Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
"2,5-furandimethanol",OCc1ccc(CO)o1
"2,6-dimethylpiperidine","C[C@H]1CCC[C@@H](C)N1 |&1:1,&2:5,r|"
2'-C-methylguanosine,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c1[nH]c(N)nc2=O
2'-MeCCPA,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12
20-HETE,OCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
20-hydroxyecdysone,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C |t:16|
3-(4-methylbenzylidene)camphor,"Cc1ccc(\C=C2\[C@H]3CC[C@@](C)(C2=O)C3(C)C)cc1 |&1:7,&2:10,r|"
3-alpha-bis-(4-fluorophenyl)-methoxytropane,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(c1ccc(F)cc1)c1ccc(F)cc1 |&1:2,5,7|"
3-alpha-hydroxy-5-beta-androstan-17-one,"C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O |a:1,5,8,10,14,16,&1:4|"
3-amino-benzamide,NC(=O)c1cccc(N)c1
3-anilinopropan-1-ol,OCCCNc1ccccc1
3-AQC,C=CCN1CCN(CC1)c1nc2ccccc2nc1C#N
3-bromo-7-nitroindazole,[O-][N+](=O)c1cccc2c(Br)[nH]nc12
3-bromocamphor,"[H][C@]1(Br)[C@@H]2CC[C@@](C)(C1=O)C2(C)C |&1:1,3,6|"
3-bromopyruvate,OC(=O)C(O)=CBr
3-carboxy-4-hydroxyphenylglycine-(R),N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O
3-carboxy-4-hydroxyphenylglycine-(S),N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O
3-CPMT,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)O[C@H](c1ccccc1)c1ccc(Cl)cc1 |&1:2,5,7,&2:10,r,THB:0:1:3.4:6.7.8|"
3-deazaadenosine,"Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O |a:10,12,&1:15,&2:17|"
3-deazaneplanocin-A,Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O |t:13|
3-deazauridine,"OC[C@H]1O[C@@H]([C@@H](O)[C@@H]1O)n1ccc(O)cc1=O |&1:2,&2:4,&3:5,&4:7,r|"
3-hydroxy-3-phenylpentanamide,"CC[C@@](O)(CC(N)=O)c1ccccc1 |&1:2,r|"
3-indolebutyric-acid,OC(=O)CCCc1c[nH]c2ccccc12
3-MATIDA,"Cc1cc(sc1[C@@H](N)C(O)=O)C(O)=O |&1:6,r|"
3-methyl-GABA,C[C@@H](CN)CC(O)=O |&1:1|
3-methyladenine,Cn1cnc(=N)c2[nH]cnc12
3-MPPI,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1
"3,3'-dichlorobenzaldazine",Clc1cccc(\C=N\N=C\c2cccc(Cl)c2)c1
"3,3'-diindolylmethane",C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
"3,4-DCPG-(+/-)","N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O |&1:1,r|"
"3,4-DCPG-(R)",N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O
"3,4-DCPG-(S)",N[C@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O
"3,4-methylenedioxy-beta-nitrostyrene",[O-][N+](=O)\C=C\c1ccc2OCOc2c1
"3,5-DHPG-(S)",N[C@H](C(O)=O)c1cc(O)cc(O)c1
3'-fluorobenzylspiperone,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1
3PO,O=C(\C=C\c1cccnc1)c1ccncc1
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1
4-(aminomethyl)benzoic-acid,NCc1ccc(cc1)C(O)=O
"4-acetyl-1,1-dimethylpiperazinium",CC(=O)N1CC[N+](C)(C)CC1
4-aminohippuric-acid,Nc1ccc(cc1)C(=O)NCC(O)=O
4-carboxy-3-hydroxyphenylglycine-(RS),"N[C@@H](C(O)=O)c1ccc(C(O)=O)c(O)c1 |&1:1,r|"
4-carboxy-3-hydroxyphenylglycine-(S),N[C@H](C(O)=O)c1ccc(C(O)=O)c(O)c1
4-chlorophenylguanidine,NC(=N)Nc1ccc(Cl)cc1
4-CMTB,"CC(C)[C@@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1 |&1:3,r|"
4-DAMP,C[N+]1(C)CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1
4-galactosyllactose,"OC[C@H]1O[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O |a:2,4,6,7,9,11,13,14,16,21,25,28,30,32,&1:18|"
4-HQN,O=c1nc[nH]c2ccccc12
4-hydroxy-phenazone,Cc1c(O)c(=O)n(-c2ccccc2)n1C
4-IBP,Ic1ccc(cc1)C(=O)NC1CCN(Cc2ccccc2)CC1
4-iodo-6-phenylpyrimidine,Ic1cc(ncn1)-c1ccccc1
4-iodo-L-phenylalanine,N[C@H](Cc1ccc(I)cc1)C(O)=O
4-methylgenistein,COc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O
4-methylhistamine,Cc1nc[nH]c1CCN
4-mu-8C,Cc1cc(=O)oc2c(C=O)c(O)ccc12
4-P-PDOT,"CCC(=O)N[C@H]1C[C@@H](c2ccccc2)c2ccccc2C1 |&1:5,7|"
4-phenolsulfonic-acid,Oc1ccc(cc1)S(O)(=O)=O
"4-phenyl-1,2,3,4-tetrahydroisoquinoline","C1NCc2ccccc2[C@@H]1c1ccccc1 |&1:9,r|"
4-PPBP,C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1
4-propylbenzoic-acid,CCCc1ccc(cc1)C(O)=O
4-pyrimidinecarbonitrile,N#Cc1ccncn1
4-tert-butylphenol,CC(C)(C)c1ccc(O)cc1
"4,4-pentamethylenepiperidine",C1CCC2(CC1)CCNCC2
"4,4'-DDT",Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
"4,5,6,7-tetrabromobenzotriazole",Brc1c(Br)c(Br)c2n[nH]nc2c1Br
4BP-TQS,"NS(=O)(=O)c1ccc2N[C@@H]([C@H]3CC=C[C@@H]3c2c1)c1ccc(Br)cc1 |&1:9,&2:10,&3:14,r,c:12|"
4E1RCat,OC(=O)c1ccc(cc1)N1C(=O)\C(=C\c2ccc(o2)-c2ccc(cc2)[N+]([O-])=O)C=C1c1ccccc1 |c:31|
4EGI-1,OC(=O)C(Cc1ccccc1[N+]([O-])=O)=NNc1nc(cs1)-c1ccc(Cl)c(Cl)c1
4SC-202,Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",CCn1c(n[nH]c1=O)-c1ccc(Cl)cc1
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",Nc1nc(=O)c2sc(=O)n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
5-aminolevulinic-acid,NCC(=O)CCC(O)=O
5-BDBD,Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21 |t:8|
5-carboxamidotryptamine,NCCc1c[nH]c2ccc(cc12)C(N)=O
5-fluoro-3-pyridyl-methanol,OCc1cncc(F)c1
5-fluoropyrimidine,Fc1cncnc1
5-fluorouracil,Fc1c[nH]c(=O)[nH]c1=O
5-FP,Fc1cnc(=O)[nH]c1
5-HMF,OCc1ccc(C=O)o1
5-hydroxydecanoic-acid,CCCCC[C@@H](O)CCCC(O)=O |&1:5|
5-hydroxyectoine,CC1=NC[C@H](O)[C@H](N1)C(O)=O |t:1|
5-hydroxymethyl-tolterodine,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C
5-hydroxytryptophan,"N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(O)=O |&1:1,r|"
5-iodo-A-85380,Ic1cncc(OC[C@@H]2CCN2)c1
5-methylfurmethiodide,Cc1ccc(C[N+](C)(C)C)o1
5-methylhydantoin-(D),C[C@H]1NC(=O)NC1=O
5-methylhydantoin-(L),C[C@@H]1NC(=O)NC1=O
5-octanoylsalicylic-acid,CCCCCCCC(=O)c1ccc(O)c(c1)C(O)=O
"5,7-dichlorokynurenic-acid",OC(=O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1
5'-chloro-5'-deoxy-ENBA-(+/-),"O[C@@H]1[C@@H](CCl)O[C@H]([C@@H]1O)n1cnc2c(N[C@H]3C[C@@H]4CC[C@H]3C4)ncnc12 |a:1,2,6,7,&1:17,20,&2:15|"
6-aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12
6-aminopenicillanic-acid,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O
6-benzylaminopurine,C(Nc1ncnc2nc[nH]c12)c1ccccc1
6-chloromelatonin,COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl
6-diazo-5-oxo-L-norleucine,N[C@@H](CCC(=O)C[N+]#N)C(O)=O
6-iodo-nordihydrocapsaicin,CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1I
"6,7-dehydro-17-acetoxy-progesterone","CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O |c:9,t:11|"
7-aminocephalosporanic-acid,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O |t:5|
7-chlorokynurenic-acid,OC(=O)c1cc(=O)c2ccc(Cl)cc2[nH]1
7-hydroxy-DPAT,CCCN(CCC)[C@H]1CCc2ccc(O)cc2C1 |&1:7|
7-hydroxy-PIPAT,CCCN(C\C=C\I)[C@H]1CCc2ccc(O)cc2C1 |&1:8|
7-hydroxystaurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4[C@H](O)NC(=O)c4c4c5ccccc5n2c4c13
7-keto-DHEA,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3C(=O)C=C2C1 |c:24|
7-methoxytacrine,COc1ccc2nc3CCCCc3c(N)c2c1
7-methylxanthine,Cn1cnc2[nH]c(=O)[nH]c(=O)c12
7-nitroindazole,[O-][N+](=O)c1cccc2c[nH]nc12
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",O=C1N2CCCCC=C2Nc2ccccc12 |c:7|
8-bromo-cAMP,"Nc1ncnc2n([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3O)c(Br)nc12 |a:7,9,16,17,&1:12|"
8-bromo-cGMP,"Nc1nc(=O)c2nc(Br)n([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3O)c2[nH]1 |a:10,12,19,20,&1:15|"
8-hydroxy-DPAT,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1 |&1:7|
8-hydroxy-PIPAT,CCCN(C\C=C\I)[C@H]1CCc2cccc(O)c2C1 |&1:8|
8-M-PDOT,"CCC(=O)N[C@H]1CCc2cccc(OC)c2C1 |&1:5,r|"
80841-78-7,Cc1oc(=O)oc1CCl
9-aminoacridine,Nc1c2ccccc2nc2ccccc12
9-aminocamptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4cccc(N)c4cc3Cn1c2=O
9-anthracenecarboxylic-acid,OC(=O)c1c2ccccc2cc2ccccc12
A-1070722,COc1ccc2c(NC(=O)Nc3cccc(n3)C(F)(F)F)ccnc2c1
A-1120,OC(=O)c1ccccc1NC(=O)N1CCC(CC1)c1ccccc1C(F)(F)F
A-317491,OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(=O)N(Cc1cccc(Oc2ccccc2)c1)[C@H]1CCCc2ccccc12
A-33903,"CC(=O)N[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O |&1:4,r,t:5|"
A-366,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1 |t:19|
A-381393,Cc1ccc(cc1C)N1CCN(Cc2nc3ccccc3[nH]2)CC1
A-412997,Cc1cccc(NC(=O)CN2CCC(CC2)c2ccccn2)c1
A-438079,Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl
A-485,CNC(=O)Nc1ccc2c(CC[C@@]22OC(=O)N(CC(=O)N(Cc3ccc(F)cc3)[C@@H](C)C(F)(F)F)C2=O)c1
A-582941,CN1C[C@H]2CN(C[C@H]2C1)c1ccc(nn1)-c1ccccc1
A-61603,"CS(=O)(=O)Nc1c(O)ccc2[C@H](CCCc12)C1=NCCN1 |&1:11,r,t:18|"
A-674563,Cc1[nH]nc2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1
A-7,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
A-769662,Oc1ccccc1-c1ccc(cc1)-c1csc2[nH]c(=O)c(C#N)c(O)c12
A-784168,FC(F)(F)c1cccnc1N1CCC(=CC1)C(=O)Nc1ccc(cc1)S(=O)(=O)C(F)(F)F |c:14|
A-803467,COc1cc(NC(=O)c2ccc(o2)-c2ccc(Cl)cc2)cc(OC)c1
A-804598,C[C@H](N\C(NC#N)=N/c1cccc2ncccc12)c1ccccc1
A-804598,C[C@H](\N=C(\NC#N)Nc1cccc2ncccc12)c1ccccc1
A-839977,Clc1cccc(c1Cl)-n1nnnc1NCc1ccccc1Oc1ccccn1
A-867744,CCC(=O)c1cc(-c2ccc(Cl)cc2)n(c1C)-c1ccc(cc1)S(N)(=O)=O
A-887826,CCCCOc1ccc(cc1Cl)-c1cncc(c1)C(=O)NCc1cccnc1N1CCOCC1
A-922500,OC(=O)[C@@H]1CCC[C@H]1C(=O)c1ccc(cc1)-c1ccc(NC(=O)Nc2ccccc2)cc1
A-939572,CNC(=O)c1cccc(NC(=O)N2CCC(CC2)Oc2ccccc2Cl)c1
A-967079,CC\C(=N/O)\C(\C)=C\c1ccc(F)cc1
A-987306,Nc1nc(N2CCNCC2)c2CCC3=C([C@@H]4CCCC[C@@H]4O3)c2n1 |t:14|
A0001,"CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O |c:21,t:27|"
A12B4C3,"CCCCCCCCCC[C@@H](O)[C@H]1C=C[C@H]2[C@@H](N1Nc1ccc(cc1)[N+]([O-])=O)C(=O)N(C2=O)c1ccccc1 |&1:10,&2:12,r,c:13|"
A205804,Cc1ccc(Sc2cncc3sc(cc23)C(N)=O)cc1
A61603,"CS(=O)(=O)Nc1c(O)ccc2[C@@H](CCCc12)C1=NCCN1 |r,t:18|"
A66,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(n1)C(C)(C)C
A740003,"COc1ccc(CC(=O)N[C@@H](N\C(Nc2cccc3ncccc23)=N\C#N)C(C)(C)C)cc1OC |&1:10,r|"
A77636,NC[C@@H]1O[C@@H](Cc2c(O)c(O)ccc12)[C@@]12CC3CC(CC(C3)C1)C2
A922500,OC(=O)[C@H]1CCC[C@H]1C(=O)c1ccc(cc1)-c1ccc(NC(=O)Nc2ccccc2)cc1
AA-29504,CCOC(=O)Nc1ccc(NCc2c(C)cc(C)cc2C)cc1N
AAI101,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)[C@](C)(Cn1cc[n+](C)n1)S2(=O)=O
AB-423,CC[C@@H](C)NS(=O)(=O)c1ccc(F)c(c1)C(=O)Nc1ccc(F)c(F)c1
abacavir,Nc1nc(NC2CC2)c2ncn([C@@H]3C[C@H](CO)C=C3)c2n1 |c:18|
abafungin,Cc1ccc(Oc2ccccc2-c2csc(NC3=NCCCN3)n2)c(C)c1 |t:18|
abamectin,"[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@@]5(O[C@H](C(C)C)[C@@H](C)C=C5)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O |c:4,54,t:6,37,64|"
abametapir,Cc1ccc(nc1)-c1ccc(C)cn1
abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](Cc1ccc(O)cc1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
ABBV-744,CCNC(=O)c1cc2c(cn(C)c(O)c2n1)-c1cc(ccc1Oc1c(C)cc(F)cc1C)C(C)(C)O
ABC-294640,"Clc1ccc(cc1)[C@]12C[C@H]3C[C@H](C[C@](C3)(C1)C(=O)NCc1ccncc1)C2 |&1:7,9,11,13|"
abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)-c3cc(F)c4nc(C)n(C(C)C)c4c3)nc2)CC1
abiraterone,"C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1 |c:21,t:7|"
abiraterone-acetate,"CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@@H]3CC=C2C1 |c:16,29|"
ABT-072,COc1c(\C=C\c2ccc(NS(C)(=O)=O)cc2)cc(cc1C(C)(C)C)-n1ccc(=O)[nH]c1=O
ABT-202,N[C@H]1CCN(C1)c1cccnc1 |&1:1|
ABT-239,C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N
ABT-491,CN(C)C(=O)n1cc(C(=O)c2ccc(Cn3c(C)nc4cnccc34)c(F)c2)c2c(cccc12)C#C
ABT-639,Fc1ccccc1NS(=O)(=O)c1cc(C(=O)N2CCN3CCC[C@@H]3C2)c(Cl)cc1F
